Method,Software,Category,Chimeras
PacBio,Uchime3,Generated chimeras,15
PacBio,Uchime3,Detected chimeras,13
PacBio,Unoise3,Generated chimeras,15
PacBio,Unoise3,Detected chimeras,13
PacBio,DADA2,Generated chimeras,84
PacBio,DADA2,Detected chimeras,83
UMI,Uchime3,Generated chimeras,0
UMI,Uchime3,Detected chimeras,0
UMI,Unoise3,Generated chimeras,0
UMI,Unoise3,Detected chimeras,0
UMI,DADA2,Generated chimeras,0
UMI,DADA2,Detected chimeras,0
UMI_clonal,Uchime3,Generated chimeras,3
UMI_clonal,Uchime3,Detected chimeras,0
UMI_clonal,Unoise3,Generated chimeras,3
UMI_clonal,Unoise3,Detected chimeras,0
UMI_clonal,DADA2,Generated chimeras,11
UMI_clonal,DADA2,Detected chimeras,9
